id,attack_or_regression,entry_seam,existing_control,measured_result,candidate_control,bypass_or_cost,verdict
A1,"Inherited VIRTUAL_ENV plus uv run --active","Codex, Claude, Grok, OpenCode, background command, acceptance/test subprocess","worktree and owned_dirs; --frozen","P2 replaced shared 3.12 env with project 3.11 env; incident logs 128859/128874 show same","strip activation variables at every agent boundary","worker can set the variable inline (P4)","useful compatibility fix, not authority boundary"
A2,"Explicit absolute UV_PROJECT_ENVIRONMENT","agent shell or flattened MCP environment","none; --frozen","P1 replaced target; incident logs 130504/130508 replaced live env and still passed 102 tests","strip UV_PROJECT_ENVIRONMENT","inline assignment restores it (P4)","not an authority boundary"
A3,"Direct target command","uv venv --clear PATH; uv pip --python PATH; Python/filesystem code","command-name prompt rules and wrapper","P6 replaced target without UV_PROJECT_ENVIRONMENT","uv wrapper/argument guard","absolute uv path or another program bypasses wrapper (P9)","UX guard only"
A4,"Alias target","symlink or alternate spelling of protected path","literal-path guard","P7 replaced real target through symlink","canonicalize and constrain paths in wrapper","direct filesystem access still bypasses","defence in depth only"
A5,"Same-UID permission recovery","chmod then write","root-owned mode 0555 on selected /opt runtime","2026-08-16 baseline: UID1001 cannot write/chmod selected runtime; checkout remains UID1001-owned and writable","keep immutable runtime; move service control/state to controller UID and arbitrary code to project UID","same service/project UID still owns checkout/state outside /opt","emergency runtime integrity is effective; permanent boundary still absent"
A6,"Privilege bypass","sudo, external scheduler/service, IPC to less-confined process","NoNewPrivileges=yes now effective in service","2026-08-16 baseline: /proc MainPID NoNewPrivs=1 and sudo from descendant fails before execution","retain NNP; separate controller/executor/credential UIDs and peer-check every broker","NNP does not isolate same-UID files or a less-confined external service","effective defence in depth, not the authority boundary"
A7,"Project MCP config injects absolute env","scope/project .mcp.json flattened into CLI environment","Codex trust only controls whether project config is loaded","source inspection: runtime_registry.py flattens server env into mcp_env; backend merges it globally","per-server env allowlist and do not promote MCP env to CLI","inline shell assignment remains","required secret/config hygiene, not authority boundary"
A8,"Background or scheduled command writes target","agent-exposed bg run/command/cron_command","runs outside worktree assumptions and inherits service environment","source inspection: bg_jobs.py executes arbitrary shell via service process","execute every project-selected operation as uncredentialed project UID","misclassified operator-only jobs would regress","enforce provenance and separate operator runner"
A9,"Project tests or acceptance command writes absolute path","pytest/import-time code and acceptance shell","test command launched from trusted service process","source inspection: merge test and acceptance paths inherit environment and run arbitrary code","dedicated UID for all project-controlled subprocesses","project tests needing system-wide writes fail","allow only named project/worktree write roots"
A10,"Secret exposure through environment or direct file read","all worker CLI/children plus worktree file copying","service environment inherited; service and worker .env mode 0644; incident project .env mode 0664","live worker had 49 variables including four sensitive names; app/workspace.py copies .env as a secret-bearing project file","construct minimal worker env; service-secret files and sensitive DB/config mode 0600 behind non-searchable service directory or InaccessiblePaths; scoped broker token; only project-scoped credentials may enter that project's worktree","some integrations need explicit scoped credentials; mode alone fails if parent directories or ACLs grant access","required: direct open as agent UID must return EACCES and secret names/values must be absent from environ"
A11,"Normal project-local uv run","ordinary uv run --frozen after env stripping","current inherited service VIRTUAL_ENV encourages --active","P3 exited 0, created project-b/.venv, and did not change shared env","strip activation variables plus writable worktree","extra local disk/cache use","compatible"
A12,"No-sync mitigation","uv run --no-sync","optional agent choice","P5 preserved target but executed Python 3.12 for a project constrained to <3.12","force --no-sync","wrong/stale interpreter and dependencies; direct uv venv bypass","unsafe as general compatibility solution"
A13,"Live service starts through uv run","systemd ExecStart uv run uvicorn","root-owned versioned runtime plus direct ExecStart","2026-08-16 baseline: /opt/orchestra/runtimes/20260817-b0b72d65-py312-rag-v2/bin/python; env variables absent; SSL/httpcore pass","preserve baseline and add versioned manager/drain/rollback","base deploy template still contains uv run until A1 ships","recovery layer applied; delivery template remains RED"
A14,"Separate project UID cannot write service runtime","all arbitrary project-code paths","ORCHESTRA_AGENT_UID support is partial and inactive; Codex/Grok/bg paths remain same UID","dedicated account absent; current service and worker UID both 1001","non-sudo project UID plus service/root ownership and allowlisted write roots","missed execution seam restores vulnerability; provider authentication remains readable to same-UID tools","smallest kernel-enforced service-integrity boundary when applied to every project-code seam"
A15,"Mount namespace hides service runtime","worker child mount namespace","current PrivateMounts/ProtectSystem/ReadOnlyPaths all off","not live-tested because it would mutate execution policy","read-only/inaccessible bind paths per agent","external execution under same UID can escape; operational complexity","optional defence in depth after UID boundary"
A16,"Recovery overwrites env in place","operator runs uv sync on current .venv","none","incident shows repeated 3.11/3.12 replacement; old processes retain deleted mappings","build and verify side-by-side versioned runtime","temporary disk use and one drained service restart","safe recovery pattern"
A17,"Restart kills active agent work","manual systemctl restart","technical sudo authorization only","source/report inspection: application restart drains and hands off Codex; manual restart bypasses it","authorized POST /api/restart after side-by-side build","old MCP subprocesses remain stale until turn boundary","use application restart; verify turn-boundary refresh"
A18,"SSH background watcher/remote run","bg_create type=ssh and run host=...","agent can select host and remote command; local ssh inherits service identity/environment","source inspection: bg_jobs.py:823-849 launches local ssh; mcp_stdio.py exposes ssh","launch local ssh client as uncredentialed project UID with minimal env; treat remote host authority separately","remote credentials and remote filesystem policy are outside local UID boundary","local child must satisfy UID/env invariant; do not claim remote containment"
