id	source	their_rule	our_state	verdict
E1	gpt-5.5	Consistent with existing design conventions/framework in context	не упомянуто	НЕТ
E2	gpt-5.5	Think deeply about audience; using your application should feel rich and sophisticated	есть «Читается за 5 секунд», требования «богато» нет	НЕТ
E3	gpt-5.5	Design tailored to domain: SaaS/CRM quiet utilitarian; a game can be illustrative, expressive, animated, playful	п.«Отчёт, дашборд, разбор — спокойно и утилитарно, плотно, для сканирования. Без hero и обложек»	РАЗМЫТО
E4	gpt-5.5	Common workflows ergonomic and efficient across views	—	НЕ НАШ ЖАНР
D1	gpt-5.5	Словарь контролов: иконки в кнопках, свотчи для цвета, segmented control для режимов, тумблеры для булевых, слайдеры для чисел, меню, табы; карточки ≤8px радиуса	словаря контролов нет; про радиус карточки — ничего	НЕТ
D2	gpt-5.5	Не делать прямоугольник с текстом там, где есть привычный символ; тултип объясняет незнакомую иконку	не упомянуто	НЕТ
D3	gpt-5.5	lucide-иконки вместо нарисованных руками SVG	не упомянуто (и внешняя библиотека нам запрещена офлайн-правилом)	НЕТ
D4	gpt-5.5	Полный набор контролов, состояний и видов, который ожидает целевой пользователь	не упомянуто	НЕТ
D5	gpt-5.5	Не описывать в самом интерфейсе его функции, горячие клавиши и оформление	не упомянуто	НЕТ
D6	gpt-5.5	Не делать лендинг; первым экраном — рабочая суть, а не маркетинг	«Читается за 5 секунд — заголовок, абзац сути» + «Без hero и обложек»	ЕСТЬ
D7	gpt-5.5	Hero-страница: изображение/полноэкранная сцена фоном, текст поверх, не в карточке	—	НЕ НАШ ЖАНР
D8	gpt-5.5	Бренд/объект — сигнал первого экрана; виден намёк на следующую секцию	—	НЕ НАШ ЖАНР
D9	gpt-5.5	H1 лендинга — имя бренда или буквальное предложение	—	НЕ НАШ ЖАНР
D10	gpt-5.5	Сайты и игры обязаны использовать визуальные ассеты; настоящие изображения вместо SVG	—	НЕ НАШ ЖАНР
D11	gpt-5.5	Для игр и движков брать проверенную библиотеку, а не писать логику руками	—	НЕ НАШ ЖАНР
D12	gpt-5.5	Three.js для 3D, сцена full-bleed; проверка Playwright-скриншотами и пиксельными пробами	п.10 «Проверь рендером, а не глазами по коду» — headless-проверка есть, пиксельной пробы нет	РАЗМЫТО
D13	gpt-5.5	Карточка не внутри карточки; секции не оформлять карточками; секции — полосы во всю ширину	«Карточка не внутри карточки; секции — полосы, а не плавающие карточки»	ЕСТЬ
D14	gpt-5.5	Никаких orbs, градиентных шаров и bokeh-клякс как декора и фона	«Без градиентных пятен, шаров и размытых клякс»	ЕСТЬ
D15	gpt-5.5	Текст влезает в свой элемент на всех вьюпортах, не перекрывает соседей; при этом выглядит профессионально	«Текст помещается в свой элемент на узком и широком экране и не наезжает на соседей»	ЕСТЬ
D16	gpt-5.5	Кегль под контейнер: геройский размер — только настоящим героям, в панелях и дашбордах мельче и плотнее	«Крупный шрифт только настоящим заголовкам; в карточках, панелях и таблицах мельче и плотнее»	ЕСТЬ
D17	gpt-5.5	Стабильные размеры через aspect-ratio, grid-треки, min/max, контейнерные единицы — чтобы ховер и динамический текст не двигали вёрстку	не упомянуто вовсе	НЕТ
D18	gpt-5.5	Кегль не масштабируется от ширины вьюпорта; letter-spacing строго 0, не отрицательный	«letter-spacing: 0; кегль не масштабируется от ширины вьюпорта»	ЕСТЬ
D19	gpt-5.5	Не одноцветные палитры; ограничить фиолетовый/фиолетово-синий, беж, тёмно-синий, коричнево-оранжевый; просмотреть цвета перед сдачей	«Не одноцветная палитра… перед сдачей просмотри цвета и переделай»	ЕСТЬ
D20	gpt-5.5	Элементы и текст не должны бессвязно перекрываться	покрыто только для текста (D15), про элементы — нет	РАЗМЫТО
D21	gpt-5.5	Открывающийся файлом сайт — не поднимать дев-сервер, отдать ссылку на HTML	«Сообщи путь; добавь send_file»	ЕСТЬ
F1	gpt-5.4	Не скатываться в «AI slop» и безопасные средние макеты; интерфейс намеренный, смелый и слегка неожиданный	антипаттерны есть, требования «смелее и неожиданнее» нет	РАЗМЫТО
F2	gpt-5.4	Типографика: выразительные осмысленные шрифты, избегать дефолтных стеков (Inter, Roboto, Arial, system)	п.3 «Системные шрифты, без веб-шрифтов»	ПРОТИВОРЕЧИТ
F3	gpt-5.4	Цвет: ясное визуальное направление, переменные CSS, без фиолетового по белому, без перекоса в фиолетовый и в тёмную тему	раздел «Палитра выводится из предмета» + анти-фиолет + токены	ЕСТЬ
F4	gpt-5.4	Движение: несколько осмысленных анимаций (появление страницы, ступенчатое раскрытие) вместо микро-моушена	слов «анимация», «переход», «движение» в скилле 0	НЕТ
F5	gpt-5.4	Фон: не плоская заливка одним цветом; градиенты, формы, лёгкие паттерны для атмосферы	антипаттерн «Без градиентных пятен, шаров и размытых клякс»	ПРОТИВОРЕЧИТ
F6	gpt-5.4	Страница корректно грузится и на десктопе, и на мобильном	п.6 «Адаптивность — viewport, auto-fit + minmax»	ЕСТЬ
F7	gpt-5.4	Современные паттерны React (useEffectEvent, startTransition, useDeferredValue)	—	НЕ НАШ ЖАНР
F8	gpt-5.4	Не шаблонные макеты; варьировать темы, шрифтовые семьи и визуальные языки между выводами	«Артефакты отличаются не только цветом: меняй композицию, плотность, шрифтовую пару»	ЕСТЬ
S1	gpt-5.6-sol	Визуал только когда он существенно облегчает понимание связи; наименьший полезный вид (таблица/поток/дерево/каркас)	триггеры скилла требуют обратного — генерировать артефакт агрессивно	ПРОТИВОРЕЧИТ
C1	visualize.css	25 цветовых токенов, помеченных как контракт для агента (--card, --popover, --muted, --ring, --input, --destructive, --border…)	«Два базовых токена + акцент», остальное «выводится», один пример	РАЗМЫТО
