scaffold,task,model_label,score_raw,score_numeric,score_semantics,cost_usd_raw,cost_usd_per_run,count_raw,count_semantics,k,comparator_cost_over_pi,comparator_count_over_pi,quality_vs_pi,exact_model,effort,input_tokens,cached_input_tokens,cache_write_tokens,output_tokens,reasoning_tokens,retries,tool_schema_fingerprint,source_cell
Pi,three-body,GPT,85,85,single-cell score; rubric/link absent,0.294,0.294000,11,requests (exact definition absent),1,1.000000,1.000000,equal,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Pi,three-body,Kimi,65,65,single-cell score; rubric/link absent,1.129,1.129000,36,requests (exact definition absent),1,1.000000,1.000000,equal,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Pi,heat-2d,GPT,15,15,single-cell score; rubric/link absent,0.316,0.316000,16,requests (exact definition absent),1,1.000000,1.000000,equal,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Pi,heat-2d,Kimi,50,50,single-cell score; rubric/link absent,0.640,0.640000,12,requests (exact definition absent),1,1.000000,1.000000,equal,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Cline,three-body,GPT,85,85,single-cell score; rubric/link absent,0.519,0.519000,8,requests (exact definition absent),1,1.765306,0.727273,equal,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Cline,three-body,Kimi,0F,0,single-cell score; rubric/link absent,0.190,0.190000,2,requests (exact definition absent),1,0.168291,0.055556,lower,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Cline,heat-2d,GPT,15,15,single-cell score; rubric/link absent,0.936,0.936000,15,requests (exact definition absent),1,2.962025,0.937500,equal,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Cline,heat-2d,Kimi,65,65,single-cell score; rubric/link absent,3.455,3.455000,36,requests (exact definition absent),1,5.398438,3.000000,higher,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Hermes Agent,three-body,GPT,65,65,single-cell score; rubric/link absent,0.581,0.581000,14,requests (exact definition absent),1,1.976190,1.272727,lower,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Hermes Agent,three-body,Kimi,0F,0,single-cell score; rubric/link absent,4.761,4.761000,77,requests (exact definition absent),1,4.217006,2.138889,lower,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
