test node,file:line,intended user/API contract,actual seam called,production path reached?,red regression,valid future change,positive control,mutation caught by this test,same mutation caught by other named test,duplicate cluster,runtime/flake evidence,live/external risk,verdict KEEP/MERGE/REWRITE/DELETE/UNKNOWN,confidence,deletion oracle
tests/test_routes_surface.py::test_route_surface_is_discoverable,tests/test_routes_surface.py:55,minimum HTTP surface must be discovered,route_surface to _collect and floor,yes,flat or empty traversal fails,adding a route remains above floor,truncated surface plus truncated snapshot,compound truncation fails,route snapshot catches ordinary route removal,none,2 passed in 2.44s; compound mutant exit 1 here,none,KEEP,CONFIRMED,retain minimum-surface oracle
tests/test_routes_surface.py::test_route_surface_snapshot,tests/test_routes_surface.py:61,path and method changes require snapshot update,route_surface and JSON snapshot,yes,route removal fails,valid route addition requires snapshot update,one route removal,snapshot catches one route removal,discoverability catches low-cardinality compound only,none,2 passed in 2.44s; one-route mutant exit 1,none,KEEP,CONFIRMED,retain exact path and method contract
tests/test_quota_admission_e2e.py::test_gated_worker_is_refused_above_the_line[sol-gpt-5.6-sol],tests/test_quota_admission_e2e.py:86,gated worker is refused above quota line,SessionManager create to imported quota loader to require_worker_admission,NO deterministic seam not reached,live quota can fail unrelated to inputs,model and line changes preserve refusal,below-line sibling control,no named mutant reached,hard-stop sibling shares live seam,none,4 failures at live blocked quota; 95 passed group,subscription telemetry leaks through fixture,REWRITE,CONFIRMED,patch manager imported loader and rerun both controls
tests/test_quota_admission_e2e.py::test_luna_and_spark_are_refused_at_the_hard_stop[luna-gpt-5.6-luna],tests/test_quota_admission_e2e.py:129,Luna and Spark are refused at hard stop,SessionManager create to require_worker_admission,NO deterministic seam not reached,live blocked quota masks intended result,orchestrator and below-line controls remain allowed,none,hard-stop mutant not isolated,gated-above sibling shares live seam,none,4 quota E2E failures; live state observed,subscription telemetry,REWRITE,CONFIRMED,patch imported seam and assert no live read
tests/test_merge_stuck.py::test_missing_task_ref_does_not_freeze_the_branch_forever,tests/test_merge_stuck.py:135,missing task reference warns without freezing later merges,accept_merge_operation to sessions execute_merge_session fake to git and tm,NO fake call fails before scenario,expected_target_head keyword TypeError,production argument addition is valid future change,missing-task warning control,not reached,primary-failure sibling shares stale fake,none,2 failures 184 passed in 10.24s,none,REWRITE,CONFIRMED,update fake signature then rerun both recovery cases
tests/test_merge_stuck.py::test_primary_failure_blocks_until_it_is_explicitly_resolved,tests/test_merge_stuck.py:176,primary merge failure blocks until explicit resolve,accept_merge_operation to sessions execute_merge_session fake,NO fake call fails before PARTIAL,expected_target_head keyword TypeError,successful merge after resolve is valid alternate,not reached,none,missing-task sibling shares stale fake,none,2 failures 184 passed in 10.24s,none,REWRITE,CONFIRMED,repair test double; retain recovery scenario
tests/test_frontend.py::test_dashboard_polling_equivalent_twelve_minutes_before_after,tests/test_frontend.py:1918,hidden dashboard performs zero polling,Playwright dashboard_browser to child uvicorn to app.main,UNMEASURED,child server aborts at os.pidfd_open,interval changes are valid future behavior,none,not safely run,none,none,child start error before app; wall-clock wait in body,starts child server and uses wall-clock wait,UNKNOWN,LOW,replace with deterministic in-process browser timer oracle
tests/test_native_history_import.py::test_pinned_runtime_semantically_recalls_long_native_history[claude],tests/test_native_history_import.py:201,real runtime recalls markers after oversized history import,ClaudeBackend or CodexBackend provider CLI,YES only explicit live run,quota auth provider outage,history format and provider upgrades,skip only absent binary,not run by protocol,none,none,not run by protocol,provider credentials required,KEEP,CONFIRMED,exclude from automatic conclusions and retain live probe marker
tests/test_runtime_handoff_v2.py::test_t1_raw_refs_route_is_operator_only_and_absent_from_runtime_tools,tests/test_runtime_handoff_v2.py:375,oversized recovery handoff rejects raw refs,AgentSession runtime handoff and model resolution,PARTIAL current registry fails first,model registry changes are valid future changes,receipt and authority fixture controls,none,no named mutant reached,other handoff tests share registry setup,none,10 failures 64 passed in 5.86s,none,KEEP,CONFIRMED,fix environment seam separately; do not prune safety test
tests/test_pipeline.py::TestSchemaValidation::test_unsafe_default_skill_name_rejected,tests/test_pipeline.py:280,default skill paths reject traversal and absolute paths,load_pipeline defaults skills schema,yes,unsafe path fails,role-only field remains valid future change,no safe-path control in node,no named mutant reached,role variant near pair ratio 0.9211,near lower-bound pair,71 passed 7 skipped in 2.90s,none,KEEP,LIKELY,retain default and role paths
tests/test_pipeline.py::TestSchemaValidation::test_unsafe_role_skill_name_rejected,tests/test_pipeline.py:292,role skill paths reject traversal and absolute paths,load_pipeline roles skills schema,yes,unsafe path fails,default-only field remains valid future change,no safe-path control in node,no named mutant reached,default variant near pair ratio 0.9211,near lower-bound pair,71 passed 7 skipped in 2.90s,none,KEEP,LIKELY,retain default and role paths
tests/test_tm.py::test_yougile_import_uses_resolved_project_id,tests/test_tm.py:189,YouGile import resolves and persists identity,tm_import_yougile and tm tables,yes,wrong project resolution fails,#299 migration is valid future change,resolved project fixture and duplicate project control,no named mutant reached,tm and API tests cover adjacent task paths,pre-decided #299 candidate,71 passed 7 skipped in 2.90s,YouGile compatibility and pre-decided #299,UNKNOWN,LIKELY,do not delete in #313; #299 must provide replacement oracle
