ts,layer,operation/attempt,timeout budget,observed response/exception,delivery state PROVEN/UNKNOWN/NOT_SENT,retry decision,duplicate risk,evidence path/line
2026-08-24T15:04:29.421+07:00,Orchestra queue,user asks "че так долго",n/a,user_message persisted in comfy-image-orchestrator DB session,NOT_SENT,no media retry,none,docs/tasks/333/evidence/db-send-file.tsv; logs.id=479926
2026-08-24T15:04:53.514+07:00,Orchestra queue → aiogram lane,cosmetic send_message dropped: rate slot unavailable,non-important no-wait,bridge drop log; no Bot API call receipt,NOT_SENT,no retry; cosmetic drop,none,app/tg_bridge.py:1264-1276; journal
2026-08-24T15:04:54.897+07:00,Orchestra queue → aiogram lane,cosmetic edit_message dropped: rate slot unavailable,non-important no-wait,bridge drop log; no Bot API call receipt,NOT_SENT,no retry; cosmetic drop,none,app/tg_bridge.py:1264-1276; journal
2026-08-24T15:05:01.256+07:00,Orchestra queue → aiogram lane,cosmetic send_message dropped: rate slot unavailable,non-important no-wait,bridge drop log; no Bot API call receipt,NOT_SENT,no retry; cosmetic drop,none,app/tg_bridge.py:1264-1276; journal
2026-08-24T15:05:01.387+07:00,Orchestra queue → aiogram lane,cosmetic edit_message dropped: rate slot unavailable,non-important no-wait,bridge drop log; no Bot API call receipt,NOT_SENT,no retry; cosmetic drop,none,app/tg_bridge.py:1264-1276; journal
2026-08-24T15:05:33.027+07:00,Orchestra queue → aiogram lane,cosmetic edit_message dropped: rate slot unavailable,non-important no-wait,bridge drop log; no Bot API call receipt,NOT_SENT,no retry; cosmetic drop,none,app/tg_bridge.py:1264-1276; journal
2026-08-24T15:05:35.532+07:00,MCP HTTP,POST /api/tg/send_file for 161177-surikov.png begins,HTTP client 180s; bridge call 30s,send_file path logged; no response yet,UNKNOWN,important path may retry,possible if later attempt follows accepted first,evidence/db-send-file.tsv; journal
2026-08-24T15:06:05.551+07:00,aiogram/local telegram-bot-api,send_photo attempt 1 timeout → retry 2/3,30s outer bridge timeout,`TG send_photo attempt timeout`,UNKNOWN,retry 2/3,possible: timeout does not prove request was unsent,app/tg_bridge.py:1322-1341; journal
2026-08-24T15:06:36.550+07:00,aiogram/local telegram-bot-api,send_photo attempt 2 timeout → retry 3/3,30s outer bridge timeout,`TG send_photo attempt timeout`,UNKNOWN,retry 3/3,possible: same payload sent again,app/tg_bridge.py:1322-1341; journal
2026-08-24T15:07:08.554+07:00,aiogram/local telegram-bot-api → MCP HTTP,send_photo attempt 3 timeout; bridge returns None,30s attempt budget,`TG send_photo LOST after 3 timed out attempts`; `/api/tg/send_file` 500,UNKNOWN,no blind retry; MCP marks POST 5xx non-retryable but unknown,possible for all prior attempts,app/tg_bridge.py:1342-1358; app/routes/tg.py:153-157; app/mcp_stdio.py:448-456
2026-08-24T15:07:08.558+07:00,MCP HTTP,tool result for 161177-surikov.png,caller transport/API response,`http_5xx: TG file delivery failed; see tg-bridge logs`,UNKNOWN,no automatic retry; a fresh call would be a new unkeyed send,possible fresh duplicate,docs/tasks/333/evidence/db-send-file.tsv; app/mcp_stdio.py:501-552
2026-08-24T15:07:08.588+07:00,MCP HTTP,POST /api/tg/send_file for 161177-pozdeev.png begins,HTTP client 180s; bridge call 30s,request start logged; no completion in window,UNKNOWN,no safe retry decision available,possible if any in-flight attempt later accepted,docs/tasks/333/evidence/db-send-file.tsv; journal
2026-08-24T15:08:05.454+07:00,Orchestra queue,incident report says sequential 8-image batch blocked ~53s; count delivered unknown,n/a,tool result exposed HTTP 5xx only,UNKNOWN,no blind retry,unknown count means unknown duplicate risk,docs/tasks/333/evidence/incident-report.md
2026-08-24T15:08:28.074+07:00,MCP HTTP,POST /api/tg/send_file for matrix 161177-surikov.png begins,HTTP client 180s; bridge call 30s,request start logged; no immediate completion,UNKNOWN,no safe retry decision available,possible if an earlier same file was accepted,evidence/journal-tg-1504-1510.txt
2026-08-24T15:09:11.555+07:00,aiogram/local telegram-bot-api,an in-flight send_photo reaches attempt 2/3,30s attempt budget,`TG send_photo attempt timeout`,UNKNOWN,retry 2/3,possible; journal lacks request/event id, evidence/journal-tg-1504-1510.txt
2026-08-24T15:09:42.554+07:00,aiogram/local telegram-bot-api,an in-flight send_photo reaches attempt 3/3,30s attempt budget,`TG send_photo attempt timeout`,UNKNOWN,retry 3/3,possible; no upstream receipt, evidence/journal-tg-1504-1510.txt
2026-08-24T15:10:08.711+07:00,MCP HTTP,POST /api/tg/send_file for 161181-surikov.png begins,HTTP client 180s; bridge call 30s,request start logged; no completion yet,UNKNOWN,no safe retry decision available,possible if same logical file was already accepted,evidence/db-send-file.tsv; journal
2026-08-24T15:10:14.556+07:00,aiogram/local telegram-bot-api,an in-flight send_photo attempt 3/3 ends,30s attempt budget,`TG send_photo LOST after 3 timed out attempts`,UNKNOWN,no blind retry,possible for its three attempts; exact caller attribution unavailable,evidence/journal-tg-1504-1510.txt
2026-08-24T15:10:28.536+07:00,MCP HTTP,POST /api/tg/send_file contact-sheet.png begins,HTTP client 180s; bridge call 30s,request start logged; no completion by 15:10:59,UNKNOWN,no safe retry decision available,possible only if later retry/fresh call occurs,evidence/journal-tg-1504-1510.txt
2026-08-24T15:10:37.014+07:00,aiogram/local telegram-bot-api,send_message flood response,TelegramRetryAfter 3s,`TG send_message flood: retry in 3s`,UNKNOWN,retry after server-provided delay,not a media duplicate proof,app/tg_bridge.py:1359-1377; journal
2026-08-24T15:10:41.546+07:00,MCP HTTP → local telegram-bot-api,send_file completion (caller/path linkage absent in log),bridge 30s per call,`delivered msg_id=162144`; POST 200,PROVEN for one file send; exact logical file UNKNOWN,no retry,none for the proven receipt; cannot reconcile earlier unknowns,evidence/journal-tg-1504-1510.txt
2026-08-24T15:10:46.853+07:00,MCP HTTP → local telegram-bot-api,send_file completion (caller/path linkage absent in log),bridge 30s per call,`delivered msg_id=162147`; POST 200,PROVEN for one file send; exact logical file UNKNOWN,no retry,none for the proven receipt; cannot reconcile earlier unknowns,evidence/journal-tg-1504-1510.txt
2026-08-24T15:10:53.709+07:00,MCP HTTP → local telegram-bot-api,send_file completion (caller/path linkage absent in log),bridge 30s per call,`delivered msg_id=162148`; POST 200,PROVEN for one file send; exact logical file UNKNOWN,no retry,none for the proven receipt; cannot reconcile earlier unknowns,evidence/journal-tg-1504-1510.txt
