file	date	reporter	scope	title	symptom_key	still_reproducible	evidence	duplicate_of
20260803T080345.603165Z-421e46ebda55402fb6536a53886d2db1.md	2026-08-03T08:03:45.603165Z	seedon-orchestrator	/home/kesha/projects/seedon	bg_create падает 500 для сессии с NULL id — sessions.id допускает NULL, вся перс	bg_null_session_id	unknown	scope is outside current /home/kesha/orchestra; no current-main check performed	
20260803T082843.924804Z-c3e87ab4214c470c937e69d0ee1b5aec.md	2026-08-03T08:28:43.924804Z	Claude-Code-Game-Master-orchestrator	/home/kesha/projects/dnd-game-master	migrate_agent.py оставляет worktree'ы во владении root → kill_worker/worker_wip 	worktree_ownership	unknown	scope is outside current /home/kesha/orchestra; no current-main check performed	
20260803T085633.447435Z-0795d5e55c3744e487a71663661d1cee.md	2026-08-03T08:56:33.447435Z	seedon-orchestrator	/home/kesha/projects/seedon	search_memory всегда падает с transport_timeout на VPS; spawn_worker/send_messag	spawn_initial_delivery_timeout	unknown	scope is outside current /home/kesha/orchestra; no current-main check performed	
20260803T102113.495691Z-7516b996e902494b96adea458826ca35.md	2026-08-03T10:21:13.495691Z	Orchestra-orchestrator	/home/kesha/orchestra	bg_create полностью сломан на ядрах < 6.9: pidfd_send_signal с PIDFD_SIGNAL_PROC	bg_pidfd_signal	no	evidence/current-main-checks.txt: pidfd_exec.py handles EINVAL with killpg fallback	
20260803T142244.652434Z-f088915214d44616b475e288c2b90690.md	2026-08-03T14:22:44.652434Z	Orchestra-orchestrator	/home/kesha/orchestra	Все worktree воркеров исчезли вместе с метаданными .git/worktrees — воркеры пада	worktree_metadata_lost	unknown	evidence/current-main-checks.txt: no cheap current-main predicate for this historical/runtime symptom	
20260803T153310.879887Z-aeff5747945c4f06ba8ba50e52efb870.md	2026-08-03T15:33:10.879887Z	Orchestra-orchestrator	/home/kesha/orchestra	switch_worker_branch: возврат на РАНЕЕ смерженную task-ветку всегда падает конфл	switch_branch_old_target	unknown	evidence/current-main-checks.txt: no cheap current-main predicate for this historical/runtime symptom	
20260803T165130.127212Z-0774d219d4984a9ca25b8eb106cdacca.md	2026-08-03T16:51:30.127212Z	perf	/home/kesha/orchestra	codex_review не работает на VPS: путь к бинарнику захардкожен на /home/maxim/.lo	codex_binary_path	no	evidence/current-main-checks.txt: backend_codex.py resolves codex via shutil.which	
20260804T055542.046600Z-40c80d20e1ac4ca2a4b56fffe4922d21.md	2026-08-04T05:55:42.046600Z	feat-instant	/home/kesha/orchestra	Приватный стор баг-репортов растёт без ограничения, а GET /api/report_bug склеив	other	unknown	evidence/current-main-checks.txt: no cheap current-main predicate for this historical/runtime symptom	
20260804T060248.923169Z-003a000488c34411b307dc61c493d4e6.md	2026-08-04T06:02:48.923169Z	seedon-orchestrator	/home/kesha/projects/seedon	Каталог worktrees проекта удалён целиком → send_message/switch_worker_branch пад	worktree_metadata_lost	unknown	scope is outside current /home/kesha/orchestra; no current-main check performed	20260803T142244.652434Z-f088915214d44616b475e288c2b90690.md
20260804T094255.624000Z-fd25760c67df4f1a9987191a91e2115d.md	2026-08-04T09:42:55.624000Z	seedon-orchestrator	/home/kesha/projects/seedon	merge_worker залипает на PARTIAL-операции из-за несуществующего task_id и мержит	merge_worker_other	unknown	scope is outside current /home/kesha/orchestra; no current-main check performed	
20260804T144925.653337Z-77f45a5d5ca642168c5e7e4ccc3cc417.md	2026-08-04T14:49:25.653337Z	seedon-orchestrator	/home/kesha/projects/seedon	После rename_worker вызов bg_create без явного target падает: тул резолвит собст	other	unknown	scope is outside current /home/kesha/orchestra; no current-main check performed	20260804T055542.046600Z-40c80d20e1ac4ca2a4b56fffe4922d21.md
20260804T145446.829452Z-ab436fe2e066452fa47bb985cb621e77.md	2026-08-04T14:54:46.829452Z	ghost-name	/scope	t	malformed_report	unknown	scope is outside current /home/kesha/orchestra; no current-main check performed	
20260805T130358.088517Z-a9372826fb5b4bfe9a2d7f16e3b1bdbc.md	2026-08-05T13:03:58.088517Z	Orchestra-orchestrator	/home/kesha/orchestra	merge/auto-switch: в сообщении о грязном дереве у пути обрезан первый символ («o	other	unknown	evidence/current-main-checks.txt: no cheap current-main predicate for this historical/runtime symptom	20260804T055542.046600Z-40c80d20e1ac4ca2a4b56fffe4922d21.md
