rid	verdict	n_findings	n_substantive	max_severity	specificity	rounds
R01	CHANGES_REQUESTED	13	10	blocking	anchored	3
R02	CHANGES_REQUESTED	3	3	major	anchored	2
R03	APPROVE_NITS	3	2	minor	anchored	1
R04	CHANGES_REQUESTED	7	4	blocking	mixed	2
R05	CHANGES_REQUESTED	8	4	major	mixed	1
R06	CHANGES_REQUESTED	8	7	blocking	anchored	2
R07	CHANGES_REQUESTED	11	8	blocking	anchored	2
R08	CHANGES_REQUESTED	10	8	blocking	anchored	2
R09	CHANGES_REQUESTED	10	7	major	mixed	2
R10	CHANGES_REQUESTED	11	7	blocking	anchored	3
R11	CHANGES_REQUESTED	5	4	major	anchored	1
R12	CHANGES_REQUESTED	4	3	blocking	anchored	1
R13	CHANGES_REQUESTED	17	15	blocking	anchored	2
R14	APPROVE_CLEAN	0	0	none	anchored	1
R15	CHANGES_REQUESTED	1	1	major	anchored	2
R16	CHANGES_REQUESTED	11	10	blocking	anchored	1
R17	APPROVE_NITS	8	7	major	anchored	2
R18	CHANGES_REQUESTED	12	12	blocking	anchored	1
R19	APPROVE_NITS	4	1	minor	mixed	1
R20	CHANGES_REQUESTED	5	5	blocking	anchored	1
R21	CHANGES_REQUESTED	6	6	blocking	anchored	1
R22	CHANGES_REQUESTED	4	2	blocking	anchored	3
R23	APPROVE_NITS	1	0	minor	anchored	1
R24	CHANGES_REQUESTED	3	3	blocking	anchored	2
R25	APPROVE_NITS	3	2	minor	anchored	1
R26	CHANGES_REQUESTED	1	1	major	anchored	3
R27	CHANGES_REQUESTED	1	1	blocking	anchored	1
R28	CHANGES_REQUESTED	3	2	major	anchored	2
R29	APPROVE_CLEAN	0	0	none	anchored	1
R30	APPROVE_NITS	4	4	minor	anchored	2
R31	CHANGES_REQUESTED	10	10	blocking	anchored	1
R32	APPROVE_NITS	9	7	major	anchored	3
R33	APPROVE_NITS	8	4	minor	mixed	2
R34	CHANGES_REQUESTED	6	6	major	anchored	3
R35	CHANGES_REQUESTED	9	7	major	anchored	1
R36	CHANGES_REQUESTED	9	8	blocking	anchored	2
R37	APPROVE_NITS	5	3	minor	mixed	2
R38	CHANGES_REQUESTED	1	1	major	anchored	2
R39	APPROVE_CLEAN	0	0	none	vague	1
R40	APPROVE_NITS	3	0	minor	mixed	1
R41	CHANGES_REQUESTED	2	1	major	mixed	1
R42	CHANGES_REQUESTED	7	5	blocking	anchored	1
R43	CHANGES_REQUESTED	5	4	blocking	anchored	2
R44	CHANGES_REQUESTED	6	6	major	anchored	2
R45	APPROVE_CLEAN	0	0	none	anchored	1
